Year,PlayerID,TourID,EventID,Event_Code,Host,Location,Game,Buy_In,Total_Entries,Counted_Entries,Entries/Indivdual,Buy_In_Est_Rebuys,Cashed,Won,Points,Place,PGT_Point,Amount_Won,Net
2017,1319,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1281,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1282,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1240,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1309,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1320,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1297,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1236,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1312,127,238,127238,PokerGo Studios,"Las Vegas, NV",NLH,50000,51,35,1.457,72850,0,0,0,0,0,0,-50000
2017,1310,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,1,1,403,1,540,900000,850000
2017,1260,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,1,0,285,2,330,550000,500000
2017,1236,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,1,0,233,3,180,300000,250000
2017,1281,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,1,0,201,4,120,200000,150000
2017,1303,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,1,0,180,5,105,175000,125000
2017,1313,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,1,0,165,6,90,150000,100000
2017,1279,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,1,0,152,7,75,125000,75000
2017,1278,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,1,0,142,8,60,100000,50000
2017,1316,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1245,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1283,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1251,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1254,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1255,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1237,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1288,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1258,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1235,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1263,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1290,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1264,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1291,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
2017,1307,127,239,127239,PokerGo Studios,"Las Vegas, NV",NLH,50000,50,32,1.563,78100,0,0,0,0,0,0,-50000
